Date/Time,Unit,Value
21.11.23 12:54:00,C,10
21.11.23 13:54:00,C,10
21.11.23 14:54:00,C,10
21.11.23 15:54:00,C,10
21.11.23 16:54:00,C,9
21.11.23 17:54:00,C,9
21.11.23 18:54:00,C,8
21.11.23 19:54:00,C,8
21.11.23 20:54:00,C,8
21.11.23 21:54:00,C,8
21.11.23 22:54:00,C,8
21.11.23 23:54:00,C,8
22.11.23 00:54:00,C,7
22.11.23 01:54:00,C,7
22.11.23 02:54:00,C,6
22.11.23 03:54:00,C,5
22.11.23 04:54:00,C,4
22.11.23 05:54:00,C,4
22.11.23 06:54:00,C,3
22.11.23 07:54:00,C,3
22.11.23 08:54:00,C,3
22.11.23 09:54:00,C,4
22.11.23 10:54:00,C,3
22.11.23 11:54:00,C,4
22.11.23 12:54:00,C,5
22.11.23 13:54:00,C,5
22.11.23 14:54:00,C,5
22.11.23 15:54:00,C,4
22.11.23 16:54:00,C,3
22.11.23 17:54:00,C,2
22.11.23 18:54:00,C,2
22.11.23 19:54:00,C,2
22.11.23 20:54:00,C,2
22.11.23 21:54:00,C,2
22.11.23 22:54:00,C,1
22.11.23 23:54:00,C,1
23.11.23 00:54:00,C,2
23.11.23 01:54:00,C,2
23.11.23 02:54:00,C,2
23.11.23 03:54:00,C,1
23.11.23 04:54:00,C,1
23.11.23 05:54:00,C,1
23.11.23 06:54:00,C,1
23.11.23 07:54:00,C,2
23.11.23 08:54:00,C,2
23.11.23 09:54:00,C,3
23.11.23 10:54:00,C,4
23.11.23 11:54:00,C,4
23.11.23 12:54:00,C,5
23.11.23 13:54:00,C,5
23.11.23 14:54:00,C,5
23.11.23 15:54:00,C,5
23.11.23 16:54:00,C,5
23.11.23 17:54:00,C,5
23.11.23 18:54:00,C,5
23.11.23 19:54:00,C,5
23.11.23 20:54:00,C,6
23.11.23 21:54:00,C,6
23.11.23 22:54:00,C,6
23.11.23 23:54:00,C,6
24.11.23 00:54:00,C,6
24.11.23 01:54:00,C,6
24.11.23 02:54:00,C,6
24.11.23 03:54:00,C,7
24.11.23 04:54:00,C,7
24.11.23 05:54:00,C,7
